"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VVLWMGBJ","journalArticle","2023","KARAMANOĞLU, Ayla YAVUZ; ZÜMRÜTBAŞ, Ali Ersin","Mesane Kanserinde İntravezikal Bacille Calmette- Guerin (BCG) Uygulaması ve Hemşirenin Sorumlulukları","Adnan Menderes Üniversitesi Sağlık Bilimleri Fakültesi Dergisi","","2587-2427","10.46237/amusbfd.1116502","http://dx.doi.org/10.46237/amusbfd.1116502","Mesane kanseri, yaygın olarak görülen ürogenital bir malignitedir. Tüm mesane kanserlerinin yaklaşık %80'ini, kasa invaziv invaze olmayan mesane kanserleri oluşturmaktadır. Kasa invaze olmayan mesane kanserinin tedavi yöntemlerinden birisi de intravezikal immünoterapidir. İntravezikal immünoterapi amacıyla oldukça etkili bir yöntem olan Bacille Calmette- Guerin (BCG) kullanılmaktadır. BCG, Mycobacterium bovis'in canlı, zayıflatılmış bir formudur. Gerekli koruyucu önlemler alınmadığında, hastalar ve sağlık çalışanları ilacın zararlı etkilerine maruz kalır. İntravezikal BCG uygulaması, hastalarda lokal ve sistemik yan etkiler oluşturabilir. Bu nedenle, hastaların tedavileri ertelenebilir veya tamamen kesilebilir. Ayrıca yan etkiler, hastaların yaşam kalitesini olumsuz etkilemektedir. Tedavinin başarıya ulaşmasında ve yan etkilerinin kontrol altına alınmasında intravezikal BCG uygulama ilkelerine uyulması ve gerekli koruyucu önlemlerin alınması önemlidir. Bu derleme ile, intravezikal BCG uygulama ilkeleri, hastalarda gelişebilecek olası yan etkiler ve bunların önlenmesi, semptom kontrolünün sağlanması, BCG uygulamasının kontrendike olduğu durumlar, BCG uygulama öncesi, sırası ve sonrasında alınması gereken güvenlik önlemleri ve BCG uygulayan hemşirenin sorumlulukları konusunda bilgi vermek amaçlanmaktadır.","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","256–269","","1","7","","","","","","","","","","","","","","","","","Publisher: Adnan Menderes University Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PC96K4K5","report","2023","Li, Zheng Ning; Xue, Yuan; Zhang, Zi De; Li, Chao Qian","Methylprednisolone or dexamethasone? How should we choose to respond to COVID-19? A meta-analysis of randomized controlled trials","","","","","http://dx.doi.org/10.37766/inplasy2023.3.0073","","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","","","","","","","","","","","","INPLASY - International Platform of Registered Systematic Review and Meta-analysis Protocols","","","","","","","","","Type: report DOI: 10.37766/inplasy2023.3.0073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93X3BKI3","journalArticle","2023","Smith, Katherine; Hegazy, Karim; Cai, Miranda R.; McKnight, Irene; Rousculp, Matthew D.; Alves, Katia","Safety of the NVX-CoV2373 COVID-19 vaccine in randomized placebo-controlled clinical trials","Vaccine","","0264-410X","10.1016/j.vaccine.2023.05.016","http://dx.doi.org/10.1016/j.vaccine.2023.05.016","","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","3930–3936","","26","41","","","","","","","","","","","","","","","","","Publisher: Elsevier BV Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJ7U5LTF","book","2023","Geetha, Saroja Devi; Chavarria, Hector Daniel; Abdelwahed, Mohammed; Kataria, Nidhi; Bijol, Vanesa; Das, Kasturi","Granulomatous Myocarditis Arising from Intravesical Bacillus Calmette-Guerin (BCG) Therapy Leading to Death Diagnosed by Post-Mortem Examination","","","","","http://dx.doi.org/10.21203/rs.3.rs-2887560/v1","Abstract: Background: Intravesical Bacillus Calmette-Guerin (BCG) is used as a standard adjuvant therapy for non-muscle invasive urothelial cancer. Most patients tolerate the treatment well, with mild side effects. Systemic complications are extremely rare, occur due to BCG dissemination and are associated with immunocompromised state and urothelial breach. Case presentation: We present a case of a 78-year-old male, a former smoker, with history of non-invasive urothelial carcinoma status post partial resection followed by intravesical BCG therapy. An autopsy was performed due to the sudden nature of his death. Autopsy showed multiple necrotizing granulomas in the brain, atrium, ventricles, lungs, kidneys, and urinary bladder. Stains for acid fast bacilli and fungi were negative. In addition, bilateral lungs showed evidence of bronchopneumonia secondary to cytomegalovirus. Conclusion: Granulomatous myocarditis arising from BCG therapy is extremely rare. Our patient with urothelial cancer treated with BCG developed multi organ granulomas, most likely due to a hypersensitivity reaction to intravesical BCG. Arrhythmia induced by granulomatous myocarditis was the cause of his death. Though there have been few cases of systemic BCG-osis causing fatal sepsis leading to death, a cardiac cause of death is unique.","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","","","","","","","","","","","","Research Square Platform LLC","","","","","","","","","Type: posted-content DOI: 10.21203/rs.3.rs-2887560/v1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9F33FDD","journalArticle","2023","Lorenc, Ava; Rooshenas, Leila; Conefrey, Carmel; Wade, Julia; Farrar, Nicola; Mills, Nicola; Paramasivan, Sangeetha; Realpe, Alba; Jepson, Marcus","Non-COVID-19 UK clinical trials and the COVID-19 pandemic: impact, challenges and possible solutions","Trials","","1745-6215","10.1186/s13063-023-07414-w","http://dx.doi.org/10.1186/s13063-023-07414-w","Introduction: The COVID-19 pandemic impacted the operationalisation of non-COVID-19 clinical trials globally, particularly site and participant recruitment and trial success/stoppage. Trials which anticipate recruitment challenges may embed methods such as the QuinteT Recruitment Intervention (QRI) to help identify and understand the sources of challenges. Such interventions can help shed light on pandemic-related challenges. This paper reports our experience of the impact of the COVID-19 pandemic on conducting clinical trials with an embedded QRI, highlighting how the QRI aided in identifying challenges and potential solutions, particularly related to the site set-up and participant recruitment. Main body: We report on 13 UK clinical trials which included a QRI. Information is from QRI data and researchers’ experience and reflections. In most trials, recruitment was lower than even the lowest anticipated rates. The flexibility of the QRI facilitated rapid data collection to understand and document, and in some instances respond to, operational challenges. Challenges were mostly logistical, pandemic-related and beyond the control of the site or central trial teams. Specifically: disrupted and variable site opening timelines —often due to local research and development (R&D) delays— shortages of staff to recruit patients; fewer eligible patients or limited access to patients; and intervention-related factors. Almost all trials were affected by pandemic-related staffing issues including redeployment, prioritisation of COVID-19 care and research, and COVID-19-related staff illness and absence. Trials of elective procedures were particularly impacted by the pandemic, which caused changes to care/recruitment pathways, deprioritisation of services, reduced clinical and surgical capacity and longer waiting lists. Attempted solutions included extra engagement with staff and R&D departments, trial protocol changes (primarily moving online) and seeking additional resourcing. Conclusion: We have highlighted wide-ranging, extensive and consistent pandemic-related challenges faced by UK clinical trials, which the QRI helped to identify and, in some cases, address. Many challenges were insurmountable at individual trials or trials unit level. This overview highlights the need to streamline trial regulatory processes, address staffing crises, improve recognition of NHS research staff and for clearer, more nuanced central guidance on the prioritisation of studies and how to deal with the backlog. Pre-emptively embedding qualitative work and stakeholder consultation into trials with anticipated difficulties, moving some processes online, and flexible trial protocols may improve the resilience of trials in the current challenging context.","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","","","1","24","","","","","","","","","","","","","","","","","Publisher: Springer Science and Business Media LLC Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SX7CN9GH","journalArticle","2023","Su, Zhaohui; McDonnell, Dean; Ahmad, Junaid; Cheshmehzangi, Ali","Disaster preparedness in healthcare professionals amid COVID-19 and beyond: A systematic review of randomized controlled trials","Nurse Education in Practice","","1471-5953","10.1016/j.nepr.2023.103583","http://dx.doi.org/10.1016/j.nepr.2023.103583","","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","103583–103583","","","69","","","","","","","","","","","","","","","","","Publisher: Elsevier BV Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9H9K6TAE","journalArticle","2023","Li, Xiao; Li, Wen; Sun, Lianjie; Ren, Junyi; Xu, Ying; Zheng, Yuanyi; Bai, Wenkun","Efficacy of low-intensity pulsed ultrasound for the treatment of viral pneumonia: study protocol for a randomized controlled trial","Trials","","1745-6215","10.1186/s13063-023-07382-1","http://dx.doi.org/10.1186/s13063-023-07382-1","Background: Viral pneumonia has always been a problem faced by clinicians because of its insidious onset, strong infectivity, and lack of effective drugs. Patients with advanced age or underlying diseases may experience more severe symptoms and are prone to severe ventilation dysfunction. Reducing pulmonary inflammation and improving clinical symptoms is the focus of current treatment. Low-intensity pulsed ultrasound (LIPUS) can mitigate inflammation and inhibit edema formation. We aimed to investigate the efficacy of therapeutic LIPUS in improving lung inflammation in hospitalized patients with viral pneumonia. Methods: Sixty eligible participants with clinically confirmed viral pneumonia will be assigned to either (1) intervention group (LIPUS stimulus), (2) control group (null stimulus), or (3) self-control group (LIPUS stimulated areas versus non-stimulated areas). The primary outcome will be the difference in the extent of absorption and dissipation of lung inflammation on computed tomography. Secondary outcomes include changes in lung inflammation on ultrasonography images, pulmonary function, blood gas analysis, fingertip arterial oxygen saturation, serum inflammatory factor levels, the sputum excretion volume, time to the disappearance of pulmonary rales, pneumonia status score, and course of pneumonia. Adverse events will be recorded. Discussion: This study is the first clinical study of the efficacy of therapeutic LIPUS in the treatment of viral pneumonia. Given that the current clinical recovery mainly depends on the body’s self-limiting and conventional symptomatic treatment, LIPUS, as a new therapy method, might be a major advance in the treatment of viral pneumonia. Trial registration: ChiCTR2200059550 Chinese Clinical Trial Registry, May 3, 2022.","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","","","1","24","","","","","","","","","","","","","","","","","Publisher: Springer Science and Business Media LLC Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMFT3K3T","journalArticle","2023","Ren, Yajuan; Wang, Guizuo; Han, Dong","Statins in hospitalized COVID‐19 patients: A systematic review and meta‐analysis of randomized controlled trials","Journal of Medical Virology","","0146-6615","10.1002/jmv.28823","http://dx.doi.org/10.1002/jmv.28823","","2023","2023-07-03 03:09:06","2023-07-03 03:09:06","","","","6","95","","","","","","","","","","","","","","","","","Publisher: Wiley Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CWKCNBP","journalArticle","2023","Burgess, Lesley; Jordaan, Jurie Johannes; Wilson, Matthew","Perspective Chapter: Ethics of Using Placebo Controlled Trials for Covid-19 Vaccine Development in Vulnerable Populations","Infectious Diseases","","2631-6188","10.5772/intechopen.104776","http://dx.doi.org/10.5772/intechopen.104776","When clinical trials are conducted in vulnerable communities such as those found within low-to-middle-income-countries (LMICs), there is always the risk of exploitation or harm to these communities during the course of biomedical research. Historically, there have been multiple instances where significant harm was caused. Various organisations have proposed guidelines to minimise the risk of this occurring, however, questionable clinical trials are still conducted. Research Ethics Committees have an additional duty of care to protect these vulnerable populations. During the Covid-19 pandemic the ongoing use of placebo-controlled trials (PCTs), even after approval of a safe and efficacious vaccine, is a topic of great debate and is discussed from an ethical and moral perspective.","2023","2023-07-03 03:09:07","2023-07-03 03:09:07","","","","","","","","","","","","","","","","","","","","","","Publisher: IntechOpen Type: book-chapter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W22K7R4E","journalArticle","2023","Bertuzzi, Vanessa; Semonella, Michelle; Andersson, Gerhard; Manzoni, Gian Mauro; Castelnuovo, Gianluca; Molinari, Enrico; Pietrabissa, Giada","Correction: Study protocol for a randomized controlled trial evaluating the effectiveness of an internet-based self-help intervention to cope with psychological distress due to COVID-19 in the Italian general population: the RinasciMENTE project","Trials","","1745-6215","10.1186/s13063-023-07217-z","http://dx.doi.org/10.1186/s13063-023-07217-z","","2023","2023-07-03 03:09:07","2023-07-03 03:09:07","","","","1","24","","","","","","","","","","","","","","","","","Publisher: Springer Science and Business Media LLC Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WWKSFQ87","journalArticle","2023","Tian, Fangyuan; Feng, Qiyi; Chen, Zhaoyan","Efficacy and Safety of Molnupiravir Treatment for COVID-19: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","International Journal of Antimicrobial Agents","","0924-8579","10.1016/j.ijantimicag.2023.106870","http://dx.doi.org/10.1016/j.ijantimicag.2023.106870","","2023","2023-07-03 03:09:07","2023-07-03 03:09:07","","106870–106870","","2","62","","","","","","","","","","","","","","","","","Publisher: Elsevier BV Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATQ78RQX","journalArticle","2023","Kow, Chia Siang; Hasan, Syed Shahzad; Ramachandram, Dinesh Sangarran","The effect of vitamin C on the risk of mortality in patients with COVID-19: a systematic review and meta-analysis of randomized controlled trials","Inflammopharmacology","","0925-4692","10.1007/s10787-023-01200-5","http://dx.doi.org/10.1007/s10787-023-01200-5","","2023","2023-07-03 03:09:07","2023-07-03 03:09:07","","","","","","","","","","","","","","","","","","","","","","Publisher: Springer Science and Business Media LLC Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MA6GPZUZ","journalArticle","2023","Goudouris, Ekaterini; Aranda, Carolina Sanchez; Solé, Dirceu","Implications of the non-specific effect induced by Bacillus Calmette-Guerin (BCG) vaccine on vaccine recommendations","Jornal de Pediatria","","0021-7557","10.1016/j.jped.2022.09.002","http://dx.doi.org/10.1016/j.jped.2022.09.002","","2023","2023-07-03 03:09:07","2023-07-03 03:09:07","","","","","99","","","","","","","","","","","","","","","","","Publisher: Elsevier BV Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8BGNHXPF","journalArticle","2023","Sakurai, Yuki; Furuto, Yoshitaka; Saito, Takahiro; Namikawa, Akio; Takahashi, Hiroko; Shibuya, Yuko","Disseminated Bacillus Calmette-Guerin Infection with Rhabdomyolysis, Acute Kidney Injury, and Interstitial Pneumonia after Bacillus Calmette-Guerin Intravesical Instillation Therapy","Internal Medicine","","0918-2918","10.2169/internalmedicine.1413-22","http://dx.doi.org/10.2169/internalmedicine.1413-22","","2023","2023-07-03 03:09:07","2023-07-03 03:09:07","","","","","","","","","","","","","","","","","","","","","","Publisher: Japanese Society of Internal Medicine Type: journal-article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
